apprehension_state,arrests,total_population,immigrant_population,immigrant_percent,immigrant_naturalized,immigrant_naturalized_percent,immigrant_noncitizen,immigrant_noncitizen_percent,arrests_per10k_population,arrests_per10k_immigrant_population,arrests_per10k_immigrant_naturalized,arrests_per10k_immigrant_noncitizen
MISSOURI,5149,6191814,277967,0.0448926598893313,140785,0.022737278606883217,137182,0.022155381282448084,8.315818272318904,185.23781599974097,365.73498597151683,375.3407881500488
KENTUCKY,4894,4534824,211210,0.04657512617909758,85140,0.01877470878693418,126070,0.0278004173921634,10.792039558756857,231.71251361204486,574.8179469109701,388.1970333941461
MISSISSIPPI,4864,2946779,71918,0.02440563069032323,29248,0.009925413476884422,42670,0.014480217213438808,16.50615807972026,676.325815512111,1663.0196936542668,1139.9109444574642
NEVADA,4728,3184612,609066,0.1912528119595103,324624,0.10193518080067525,284442,0.08931763115883505,14.846392590368938,77.62705519598862,145.64542362856722,166.2201784546586
KANSAS,3697,2947197,216817,0.07356718943457122,93204,0.03162462502506619,123613,0.04194256440950503,12.544122432263606,170.5124598163428,396.65679584567187,299.07857587794166
NEBRASKA,3009,1978707,159084,0.08039795684757774,67311,0.034017669114224595,91773,0.04638028773335314,15.206900263657024,189.14535716979708,447.02946026652404,327.87421136935706
WEST VIRGINIA,2845,1778373,32329,0.0181789759516142,17639,0.009918616623171854,14690,0.008260359328442346,15.997768747051378,880.0148473506758,1612.9032258064515,1936.6916269571136
IOWA,2699,3210507,189988,0.05917694619572547,83514,0.026012713879770392,106474,0.03316423231595508,8.406771889922682,142.06160389077206,323.17934717532387,253.4891147134512
WISCONSIN,2575,5914872,306979,0.05189951701406218,146532,0.024773486222525187,160447,0.027126030791536995,4.353433176575926,83.8819593522684,175.72953348074142,160.48913348333093
OREGON,2452,4254293,418367,0.09833995918945874,207566,0.04878977541039134,210801,0.049550183779067405,5.763589860877001,58.60882909024851,118.13110046924834,116.31823378446971
IDAHO,2160,1934262,114849,0.0593761341534911,52548,0.027166950495848028,62301,0.03220918365764307,11.16704975851255,188.0730350286028,411.05275176981047,346.7039052342659
DISTRICT OF COLUMBIA,1829,681294,97388,0.1429456299336263,46678,0.06851374003000173,50710,0.07443188990362458,26.84597251700441,187.80547911446996,391.8334118856849,360.67836718595936
WYOMING,1692,582397,20494,0.035189054888675596,9162,0.015731537078659402,11332,0.01945751781001619,29.052347453712848,825.6074948765491,1846.7583497053045,1493.1168372749735
CONNECTICUT,1307,3624508,569177,0.15703565835694114,313539,0.08650525809296047,255638,0.07053040026398065,3.6060066635250907,22.962979881477995,41.68540436755874,51.12698425116767
PUERTO RICO,1290,3234309,87466,0.027043179856964812,45519,0.014073794433370467,41947,0.012969385423594344,3.988487185361696,147.48588022774564,283.39814143544453,307.53093189024247
DELAWARE,1135,1021191,109282,0.10701426079939992,59289,0.05805867854299539,49993,0.048955582256404534,11.114473198451613,103.85973902380996,191.43517347231358,227.031784449823
SOUTH DAKOTA,922,907428,35988,0.039659344873642866,15492,0.017072428886919955,20496,0.022586915986722914,10.160585743441903,256.1965099477604,595.145881745417,449.8438719750195
RHODE ISLAND,838,1101801,168502,0.15293324293588406,91389,0.0829451053320881,77113,0.06998813760379596,7.605729165248533,49.73234739053542,91.69593714779678,108.6716895983816
MAINE,780,1387817,56448,0.040673950528059534,29514,0.021266492628350855,26934,0.01940745789970868,5.620337551708906,138.18027210884352,264.2813579995934,289.59679215860996
NEW HAMPSHIRE,669,1394868,85632,0.06139075525426062,52114,0.037361241350436024,33518,0.02402951390382459,4.7961527542391105,78.125,128.37241432244693,199.59424786681782
NORTH DAKOTA,536,784841,36962,0.047094889283307066,15294,0.019486749545449333,21668,0.02760813973785773,6.829408759226392,145.01379795465613,350.4642343402641,247.36939265275984
HAWAII,404,1445235,259001,0.17921030143886635,157451,0.10894491207312305,101550,0.0702653893657433,2.795393136756306,15.598395372990838,25.658776381223365,39.78335795174791
MONTANA,313,1116875,25679,0.02299182988248461,13778,0.012336205931729155,11901,0.010655623950755456,2.802462227196419,121.88948167763543,227.17375526201192,263.00310898243845
ALASKA,173,735706,56745,0.07712999486207806,35092,0.04769840126354821,21653,0.029431593598529846,2.35148279339845,30.487267600669664,49.2989855237661,79.89655013162148
VERMONT,162,647106,27669,0.04275806436657982,17723,0.027388094068050674,9946,0.015369970298529144,2.5034538390928227,58.54927897647186,91.40664673023754,162.87954956766538
